,Price,Area,rooms,type,Date,City,District,price_per_m2
772,120000.0,90.0,4,new,"June 25, 2023",Tashkent,Yakkasarai district,1333.33
773,72500.0,92.0,4,new,"June 25, 2023",Tashkent,Yashnabad district,788.04
774,118000.0,80.0,4,new,"June 25, 2023",Tashkent,Yunusabad district,1475.0
775,75000.0,75.0,4,new,"June 25, 2023",Tashkent,Chilanzar district,1000.0
776,73000.0,96.0,4,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,760.42
777,78000.0,80.0,4,new,"June 25, 2023",Tashkent,Sergeli district,975.0
778,92000.0,96.0,4,new,"June 25, 2023",Tashkent,Yashnabad district,958.33
780,68000.0,92.0,4,new,"June 25, 2023",Tashkent,Yunusabad district,739.13
781,69000.0,92.0,4,new,"June 25, 2023",Tashkent,Yashnabad district,750.0
782,179000.0,100.0,4,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,1790.0
783,63000.0,90.0,4,new,"June 25, 2023",Tashkent,Sergeli district,700.0
784,75000.0,85.0,4,new,"June 25, 2023",Tashkent,Almazar district,882.35
785,90000.0,68.0,4,new,"June 25, 2023",Tashkent,Chilanzar district,1323.53
786,85000.0,120.0,4,new,"June 25, 2023",Tashkent,Yunusabad district,708.33
787,100000.0,117.0,4,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,854.7
788,89000.0,105.0,4,new,"June 25, 2023",Tashkent,Yakkasarai district,847.62
789,76000.0,91.0,4,new,"June 25, 2023",Tashkent,Yunusabad district,835.16
790,130000.0,116.0,4,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,1120.69
791,157000.0,92.0,4,new,"June 25, 2023",Tashkent,Yunusabad district,1706.52
792,168000.0,110.0,4,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,1527.27
793,107000.0,96.0,4,new,"June 25, 2023",Tashkent,Chilanzar district,1114.58
794,128000.0,130.0,4,new,"June 25, 2023",Tashkent,Chilanzar district,984.62
795,130000.0,100.0,4,new,"June 25, 2023",Tashkent,Mirabad district,1300.0
796,60000.0,95.0,4,new,"June 25, 2023",Tashkent,Sergeli district,631.58
797,78000.0,85.0,4,new,"June 25, 2023",Tashkent,Shaikhantahur district,917.65
798,81500.0,92.0,4,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,885.87
799,63999.0,65.0,4,new,"June 25, 2023",Tashkent,Chilanzar district,984.6
800,119900.0,133.0,4,new,"June 25, 2023",Tashkent,Almazar district,901.5
801,88000.0,100.0,4,new,"June 25, 2023",Tashkent,Sergeli district,880.0
802,120000.0,100.0,4,new,"June 25, 2023",Tashkent,Shaikhantahur district,1200.0
